,loc_name,lat,long,if_near
0,چیتگر,35.7169564,51.2438647,1
1,شهرک غرب,35.7590609,51.3760422,1
2,دروس,35.7727353,51.4566868,0
3,شریف,35.6922777,51.3711704,1
4,شکوفه,35.6844683,51.4490001,1
5,نازی آباد,35.6415378,51.4024937,0
6,زنجان,35.6948656,51.3596154,0
7,سلامت,35.7152865,51.4626575,0
8,شهران شمالی,35.7733591,51.2882503,0
9,پیروزی,35.690986,51.467861,1
10,تهرانپارس شرقی,35.7411037,51.5466151,0
11,هروی,35.7720416,51.4731866,1
12,فلاح,35.6542843,51.3647609,0
13,محمودیه,35.7964156,51.4126953,0
14,دارآباد,35.861468,51.4978891,0
15,مبارکآباد بهشتی,35.7741447,51.4826188,1
16,خانیآباد نو,35.6205262,51.3939825,0
17,جیحون,35.6979009,51.3631305,0
18,سبلان,35.7182413,51.4645702,0
19,سازمان آب,35.7390313,51.2892731,0
20,جمالزاده,35.6972201,51.3882841,1
21,وردآورد,35.7438259,51.1506325,0
22,جنتآباد مرکزی,35.7592656,51.3042107,0
23,میرداماد,35.7601006,51.4339605,0
24,سهروردی,35.7243829,51.4363446,0
25,ارم,35.7290819,51.2881123,0
26,شهرک راهآهن,35.7460916,51.1541693,0
27,کوی فردوس,35.6181079,51.0475576,0
28,زعفرانیه,35.8076813,51.4163789,0
29,پونک,35.7675414,51.3303867,0
30,دهکده المپیک,35.7668514,51.2524869,0
31,سلیمانی,35.6486052,51.3374663,0
32,کرمان,35.7330259,51.4739299,0
33,دریاچه شهدای خلیج فارس,35.74516015,51.2140357892323,0
34,سازمان برنامه,35.7285605,51.3001497,0
35,استخر,35.7572103,51.5631124,0
36,قیطریه,35.79030505,51.4449767570462,0
37,اندیشه (شهر زیبا),35.7288939,51.4388377,1
38,نظامآباد,35.3576057,57.9713042,0
39,نارمک جنوبی,35.7178984,51.4905671,0
40,خاوران,35.6651028,51.452874,0
41,سعیدآباد,35.6670974,51.1865602,0
42,سعادتآباد,35.7860955,51.3781445,0
43,صاحب الزمان,35.6489866,51.3227187,0
44,قیامدشت,35.5237555,51.6510033,0
45,شادمهر,35.7141908,51.368139,0
46,الهیه,35.7898612,51.4262023,0
47,سلسبیل,35.6987662,51.3752341,1
48,آذربایجان,35.6917364,51.3979422,0
49,ستارخان,35.7152704,51.4797778,0
50,تجریش,35.804937,51.4409634,0
51,ایران,35.6892523,51.3896004,0
52,اباذر,35.7308741,51.3302859,0
53,منیریه,35.6811307,51.401641,0
54,هاشمآباد,35.583664,51.4403502,0
55,نیاوران,35.8160561,51.4709472,0
56,تهرانسر,35.6942692,51.2558471,0
57,شهید رجایی,35.6327794,51.3293646,1
58,تاکسیرانی,35.6723157,51.4827902,1
59,شهرک سینمایی,35.4622722,51.2228565,0
60,گیشا (کوی نصر),35.7358464,51.3763769,0
61,مرزداران,35.738556,51.3392797,0
62,گلاب دره,35.8191201,51.439482,0
63,پرواز,35.7900825,51.3536692,0
64,دبستان,35.73639,51.4535887,1
65,تهرانپارس غربی,35.7425353,51.532288,0
66,باغ فیض,35.7443658,51.3223888,0
67,کوهک,35.7332074,51.2440935,0
68,عارف,35.6800628,51.4525096,0
69,نارمک,35.7363694,51.5041892,0
70,اسکندری,35.6886157,51.3813448,1
71,فرمانیه,35.6985362,51.3704355,1
72,امامت,35.7133845,51.4910729,0
73,دهقان,35.6958208,51.3439521,0
74,توحید,35.7006532,51.3782604,1
75,شهرک پرواز,35.7264743,51.3070824,0
76,ظفر,35.7418971,51.4574665,1
77,دردشت,35.7277074,51.5076081,0
78,آهنگ,35.6634373,51.476794,0
79,درب دوم,35.7830666,51.4386271,0
80,مدائن,35.7277237,51.4968439,0
81,سوهانک,35.8034133,51.5282046,0
82,سیدخندان,35.7470497,51.443004,0
83,نواب,35.7432452,51.5600096,0
84,شهر زیبا,35.7478326,51.291355,0
85,پاسداران,35.7521802,51.4488434,0
86,شاهد,35.710486,51.46269,0
87,حسینآباد,35.7789408,51.4786726,1
88,ابوذر,35.6811427,51.4897808,0
89,شهران جنوبی,35.7588307,51.2909507,0
90,جنتآباد جنوبی,35.7459811,51.3053102,0
91,یافتآباد,35.6629572,51.3521774,0
92,قبا,35.7631371,51.4506641,0
93,استاد معین,35.7001565,51.3447089,0
94,دلگشا,35.8059615,51.3830838,0
95,شهرک دانشگاه,35.7090685,51.1990456,0
96,شهرک شهید باقری,35.7610799,51.2005506,0
97,جنتآباد شمالی,35.7722271,51.3066147,0
98,سرخه حصار,35.7211886,51.5529105,0
99,کوی مهران,35.5214268,46.1829897,0
100,بلوار کشاورز,35.7079478,51.3840588,1
101,اختیاریه,35.7863456,51.4611775,0
102,ایرانشهر,35.7083993,51.4224119,0
103,یوسفآباد,35.7346597,51.4045663,0
104,پرستار,35.6883581,51.4837882,1
105,سرآسیاب مهرآباد,35.6726263,51.3276155,0
106,مسعودیه,35.6311765,51.4943903,0
107,ارامنه,35.7180296,51.4558035,0
108,عبدلآباد,35.6383716,51.3599477,0
109,خزانه,35.6407457,51.4204924,0
110,دزاشیب,35.8091055,51.4553023,0
111,هفت چنار,35.675202,51.3690586,0
112,افسریه,35.7020445,51.5007649,1
113,اوقاف,35.7506521,51.5133048,0
114,شهرک کیانشهر,35.6316298,51.4602039821637,0
115,ظهیر آباد,35.5961194,51.4503739822271,0
116,شبیری,35.7274767,51.3932678,0
117,آسمان,35.7805536,51.357001,0
118,میدان انقلاب,35.7009816,51.3928037,1
119,بیسیم,35.6532338,51.4499759993106,0
120,سرو آزاد,35.7350461,51.1903299,0
121,ولنجک,35.8066647,51.4013931,0
122,بلورسازی,35.662873,51.3784,1
123,مهرآباد جنوبی,35.6775321,51.3381183,0
124,کن,35.7632162,51.2790505,0
125,پاتریس لومومبا,35.726602,51.3759778,1
126,شهرآرا,35.7185116,51.3721718,0
127,ونک,35.764663,51.4058606,0
128,جردن,35.7855793,51.4241254,0
129,فاطمی,35.7184219,51.3895614,0
130,آذری,35.6671035,51.3507428,0
131,سنگلج,35.676766,51.4125574,0
132,شریفآباد,35.422537,51.7902387,0
133,طرشت,35.7160834,51.3435808,1
134,هاشمی,35.6846963,51.3593942,0
135,ازگل,35.7886946,51.5131214,0
136,خانیآباد,35.6205262,51.3939825,0
137,کامرانیه,35.8013376,51.461338,0
138,امین حضور,35.6817385,51.4376348,0
139,شمسآباد,35.6567296,51.3070091,0
140,خاقانی,35.7042815,51.5037542,1
141,دکتر هوشیار,35.6943854,51.3509136,0
142,آرژانتین,35.7032388,51.4142255,0
143,شمشیری,35.6722911,51.3398874,0
144,پلیس,35.7213175,51.4454508,0
145,بریانک,35.6717026,51.3809967,1
146,هوانیروز,35.7441854,51.2429285,0
147,جی,35.6757456,51.3570027,0
148,امیریه,35.6781799,51.400731,0
149,اتابک,35.6480563,51.462443,0
150,اقدسیه,35.7940221,51.4867848732298,0
151,شیان,35.7674216,51.4871111,0
152,صادقیه,35.717839,51.3311651,1
153,شهید اسدی,35.7019609,51.4548464,0
154,تهراننو,35.7094244,51.489291,0
155,شاهین,35.6710985,51.4593335,0
156,امیرآباد,35.7333629,51.3901628,0
157,المهدی,35.6979002,51.341756,0
158,نعمتآباد,35.6337679,51.3472457,0
159,فیروزآبادی,35.5955758,51.4332045,0
160,حکیمیه,35.7447946,51.5788013,0
161,خلیج فارس,35.6688025,51.2566545,0
162,گرگان,35.7115394,51.4528651,0
163,شهرک ژاندارمری,35.73405165,51.3546769280313,0
164,میدان حر,35.6908759,51.3883603,0
165,دولاب,35.6650426,51.4612874,0
166,شهرک صدرا,35.7430553,51.2584305,0
167,درکه,35.8043457,51.3827097,0
168,آشتیانی,35.7163745,51.5050552,0
169,کاظمآباد,35.545439,51.0986834,0
170,مشیریه,35.624493,51.4796751,0
171,دیلمان,35.6031024,51.4323704,0
172,میدان ولیعصر,35.71163505,51.4070519246163,0
173,نیلوفر,35.7351761,51.4331917,0
174,شمیراننو,35.7590248,51.498701,0
175,دولتآباد,35.6199741,51.4514397,0
176,دولتخواه,35.6168338,51.3438589,0
177,امیر بهادر,35.6687328,51.3997559,0
178,هفت حوض,35.7284069,51.4894177,0
179,آجودانیه,35.8062542,51.4828165,0
180,شهرک ولیعصر,35.6305589,51.3959931,0
181,مینا,35.7010551,51.4396136,0
182,اکباتان,35.7069661,51.3056201,1
183,کاروان,35.690635,51.3523323,0
184,وصفنارد,35.6466778,51.3550758,0
185,نیرو هوایی,35.7006477,51.4871773,0
186,ویلا,35.5929928,51.4402252,0
187,کوی فراز,35.7923723,51.3725123,0
188,صفا,35.6947891,51.4521546,1
189,شهرک ابوذر,35.7967655,51.5207317,0
190,جلفا,35.7488317,51.4440013,0
191,سرتخت,35.5919862,51.4377802,0
192,تولید دارو,35.663724,51.3378347,0
193,نجات اللهی,35.718081,51.4141789,0
194,نصرت,35.7922036,51.4647592,0
195,حشمتیه,35.7264682,51.4502086,1
196,حصار بوعلی,35.8051681,51.4680166,0
197,باغ خزانه,35.6640407,51.3707078,0
198,دریاننو,35.7146676,51.3623258,0
199,مخصوص,35.6781781,51.3892558,0
200,امام سجاد(ع),35.7101195,51.2782729,0
201,دانشگاه,35.7052672,51.3982903,1
202,مولوی,35.6476422,51.3280965,0
203,زیبادشت,35.7523909,51.2613119,0
204,لویزان,35.7683818,51.5084181,0
205,شهرک طالقانی,35.5793278,51.2279782,0
206,قصر فیروزه ۱,35.6718227,51.49672,1
207,شهرک شریعتی,35.6439475,51.3682275,0
208,دانشگاه شریف,35.7057728,51.3541752,1
209,آبشار,35.6788932,51.441906,0
210,زمزم,35.6525617,51.3735926,0
211,خواجه نظام الملک,35.7135374,51.4478501,0
212,امامزاده حسن,35.6665271,51.3645461,0
213,قناتکوثر,35.7633105,51.5334445,0
214,دریا,35.772187,51.372317,0
215,شیخ هادی,35.6939072,51.4077661,0
216,لشکر,35.6849409,51.4736924,1
217,تسلیحات,35.7195274,51.4727538,0
218,بهار,35.7102335,51.4333621,0
219,کوی بیمه,35.7053748,51.3181886,1
220,گمرک,35.6659599,51.3954428,1
221,شهرک نفت (منطقه ۱),35.8128761,51.505936,0
222,قلهک,35.7728779,51.4381024,0
223,بهجتآباد,35.7202902,51.4118604,0
224,مجیدیه,35.7357141,51.4656043,1
225,دانشگاه علم و صنعت,35.7344204,51.5049701,0
226,سنایی,35.7143991,51.5035833,0
227,شاندیز,35.6602352,51.3503158,0
228,وحیدیه,35.7150203,51.4707557,0
229,عباسآباد,35.5714287,51.4687133,0
230,مجید آباد,35.7620314,51.5444166,0
231,شوش,35.6572974,51.4142116,0
232,جوادیه,35.6593804,51.38782,1
233,امانیه,35.7810654,51.4163299,0
234,شهرک مسلمین,35.6453817,51.312306,0
235,مینابی,26.5505413,54.8728747,0
236,قیام,35.6699777,51.4411377,0
237,شهرک استقلال,35.6968443,51.2437265,0
238,جوادیهپارس,35.7334516,51.5483454,1
239,زهتابی,35.6418495,51.3608203,0
240,دربند,35.8135171,51.429482,0
241,علیآباد,35.6296116,51.4158145,0
242,اراج,35.795851,51.4887161,0
243,هزار سنگ,35.8121793,51.3710013,0
244,گلچین,35.6535839,51.3672088,0
245,شاد آباد,35.65641085,51.2985957948873,0
246,جوانمرد قصاب,35.6100156,51.4194222,0
247,حافظیه,35.7020505,51.496111,1
248,طوس,35.69498555,51.362477324159,0
249,ابن بابویه,35.6029981,51.4456506,0
250,حکمت,35.8006552,51.4452029,0
251,منصوریه (پل سیمان),35.6847496,51.3944673,0
252,چهارصد دستگاه,35.6317675,51.4078172,0
253,فدک,35.72658,51.4756588,0
254,کوثر,35.6637145,51.4382344,0
255,ائمه اطهار,35.6799786,51.4818502,0
256,کریمآباد,35.3893124,51.8044992,0
257,سیزده آبان,35.6039273,51.4124628,0
258,شارق شرقی,35.7118373,51.4664526,0
259,حمزهآباد,35.5976742,51.4247928,0
260,دروازه شمیران,35.699035,51.4372976,0
261,شهرک فردوس,35.7169681,51.3130715,0
262,شهرک نفت (منطقه ۵),35.8128761,51.505936,0
263,بهارستان,35.6923351,51.4331713,0
264,کوی هفدهم شهریور,34.6925415,50.0021699,0
265,زاهد گیلانی,35.6946445,51.4603643,1
266,شهرک تختی,32.278348,50.8906421,0
267,توانیر,35.751603,51.4084871,0
268,اوین,35.8000008,51.3942764,0
269,بازار,35.6727861,51.4263323,1
270,جمهوری,35.6970345,51.3820294,1
271,طیب,35.6603775,51.4503436,0
272,زرگنده,35.7732674,51.4329527,0
273,خاک سفید,35.7427428,51.563555,0
274,مرادآباد,35.7854654,51.3260007,0
275,امام حسین(ع),35.7024257,51.445726,0
276,سپهر,35.6914589,51.3718665,1
277,ایوانک,35.7572012,51.3582363,1
278,قاسم آباد,35.7629807,51.525604,0
279,جهاد,35.7233161,51.4032265,0
280,شهید دستغیب,35.6236227,51.197083,0
281,گاندی,35.7572178,51.4118956,0
282,بهداشت,35.6569395,51.3381393,0
283,یاخچیآباد,35.63195,51.403157,0
284,صد دستگاه,35.6894879,51.4746357,1
285,جلیلی,35.6501483,51.3622362,0
286,مقدم,35.6562978,51.374727,0
287,شیوا,35.6805413,51.4688149,0
288,ابراهیمآباد,35.3657308,51.2834762,0
289,شهرک محلاتی,35.8035965,51.5165779,1
290,آبشار,35.7712104,51.2185866,0
291,خواجه نصیر طوسی,35.7276123,51.3006404,0
292,جماران,35.8198534,51.4583088,0
293,امامزاده قاسم,35.81696625,51.4353672283737,0
294,شهرک فرهنگیان,35.7536562,51.5426418,0
295,نبی اکرم(ص),35.6787537,52.5652412,0
296,دهونک,35.76806,51.3945177,0
297,فردوسی,35.701545,51.419122,0
298,قلمستان,35.6711738,51.3980348,0
299,زرکش,35.7162761,51.479839,0
300,چیذر,35.7963477,51.454676,0
301,باغ فردوس,35.8025211,51.4220609413853,0
302,شهرک کوهسار,35.7820353,51.3327372,0
303,صالحآباد شرقی,35.606898,51.3963764,0
304,کاشانک,35.8150678,51.4815151,0
305,شهرک آزادی,35.7115332,51.2737387,0
306,حصارک,35.7841665,51.3110537,0
307,اتحاد,35.7502521,51.5399619,0
308,حسنآباد,35.6861227,51.4101573,0
309,شهادت,35.6134444,51.4487537,0
310,شهرک آپادانا,35.7115372,51.3245926,1
311,شهید آوینی,35.51337,50.9146927,0
312,بهاران,35.7687604,51.2724879,0
313,شهرک غزالی,35.7322845,51.1645264,0
314,شهید بروجردی,35.6388367,51.4674445,0
315,شهرک دریا,35.6846653,51.2398239,0
316,شهرک دانشگاهی,30.2409113,57.0646164,0
317,بهمن یار,35.8245771,51.0169938,0
318,شیرازی,35.6760562,51.4046846,0
319,جابری,35.6844602,51.4536852,1
320,قزل قلعه,35.72709015,51.3959816447849,0
321,صفائیه (چشمه علی),35.6068011,51.4461975,0
322,باغ آذری,35.652293,51.4223924,0
323,فرحزاد,35.7859783,51.3460372,0
324,شهرک امید,35.6555601,50.9023148,0
325,آرارات,35.7740052,51.3986464,0
326,شهرک پاسداران,35.695091,51.2626946,0
327,زینبیه,35.7094899,51.5105416,0
328,سیروس,35.6990545,51.4406841,0
329,شهرک گلها,35.804269,51.4980481,0
330,اسفندیاری,35.6767098,51.434555,1
331,شهرک امام خمینی,35.6648158,51.3150962,0
332,ملک آباد,35.6201865,51.4295339,0
333,فتح,35.8013431,51.5074789,1
334,فرودگاه مهرآباد,35.6900662,51.3022286072496,0
335,شهرک والفجر (منطقه ۶),35.6467177,50.9995152,0
336,پامنار,35.6812524,51.4246485,0
337,قصر فیروزه ۲,35.651683,51.5032029,0
338,شهرک آسمان,35.6810911,51.2666164,0
339,ابوذر (منطقه ۱۵),35.7308741,51.3302859,0
